ticker,name,sector,market,index_
8001.T,伊藤忠商事,,JP,Nikkei225
8002.T,丸紅,,JP,Nikkei225
8015.T,豊田通商,,JP,Nikkei225
8031.T,三井物産,,JP,Nikkei225
8053.T,住友商事,,JP,Nikkei225
8058.T,三菱商事,,JP,Nikkei225
3086.T,J.フロント リテイリング,,JP,Nikkei225
3092.T,ZOZO,,JP,Nikkei225
3099.T,三越伊勢丹ホールディングス,,JP,Nikkei225
3382.T,セブン&アイ・ホールディングス,,JP,Nikkei225
7453.T,良品計画,,JP,Nikkei225
7532.T,パン・パシフィック・インターナショナルホールディングス,,JP,Nikkei225
8233.T,髙島屋,,JP,Nikkei225
8252.T,丸井グループ,,JP,Nikkei225
8267.T,イオン,,JP,Nikkei225
9843.T,ニトリホールディングス,,JP,Nikkei225
9983.T,ファーストリテイリング,,JP,Nikkei225
5831.T,しずおかフィナンシャルグループ,,JP,Nikkei225
7186.T,横浜フィナンシャルグループ,,JP,Nikkei225
8304.T,あおぞら銀行,,JP,Nikkei225
8306.T,三菱UFJフィナンシャル・グループ,,JP,Nikkei225
8308.T,りそなホールディングス,,JP,Nikkei225
8309.T,三井住友トラスト・ホールディングス,,JP,Nikkei225
8316.T,三井住友フィナンシャルグループ,,JP,Nikkei225
8331.T,千葉銀行,,JP,Nikkei225
8354.T,ふくおかフィナンシャルグループ,,JP,Nikkei225
8411.T,みずほフィナンシャルグループ,,JP,Nikkei225
8601.T,大和証券グループ本社,,JP,Nikkei225
8604.T,野村ホールディングス,,JP,Nikkei225
8630.T,SOMPOホールディングス,,JP,Nikkei225
8725.T,MS&ADインシュアランスグループホールディングス,,JP,Nikkei225
8750.T,第一ライフグループ,,JP,Nikkei225
8766.T,東京海上ホールディングス,,JP,Nikkei225
8795.T,T&Dホールディングス,,JP,Nikkei225
8253.T,クレディセゾン,,JP,Nikkei225
8591.T,オリックス,,JP,Nikkei225
8697.T,日本取引所グループ,,JP,Nikkei225
3289.T,東急不動産ホールディングス,,JP,Nikkei225
8801.T,三井不動産,,JP,Nikkei225
8802.T,三菱地所,,JP,Nikkei225
8804.T,東京建物,,JP,Nikkei225
8830.T,住友不動産,,JP,Nikkei225
9001.T,東武鉄道,,JP,Nikkei225
9005.T,東急,,JP,Nikkei225
9007.T,小田急電鉄,,JP,Nikkei225
9008.T,京王電鉄,,JP,Nikkei225
9009.T,京成電鉄,,JP,Nikkei225
9020.T,東日本旅客鉄道,,JP,Nikkei225
9021.T,西日本旅客鉄道,,JP,Nikkei225
9022.T,東海旅客鉄道,,JP,Nikkei225
